#BlockHash TimeSend TimeReceve
72657 491.763 495.726
307488 501.001 501.194
447400 596.016 586.474
959966 501.004 501.322
1632903 524.5 526.4
1811052 41.5 42.6967
3609048 77.5 78.6963
3765899 284.5 285.773
3783430 166 167.773
3895847 569.5 571.407
4792831 511 513.388
4859321 25 26.6966
4902680 250 251.773
5166767 310 311.773
5690375 433 434.773
5693245 553 554.389
5761421 109 110.697
5883073 491.763 495.238
7650092 489.401 491.387
7748968 371.5 372.773
9660521 61 62.6983
11042914 217 218.773
11051267 190 191.772
11222674 127 128.697
11514038 491.763 491.863
11668377 596.012 596.508
11883272 92.5 93.6968
12397339 596.013 591.456
13366516 401.5 402.772
13384228 11.7192 13.6966
14277075 491.763 493.724
14401667 500.5 502.456
14620159 341.5 342.773
14643546 491.763 494.257
15361205 584.5 586.397
16433386 539.5 541.419
