#time bytes-send
11.4895 510
11.5168 368
11.536 374
12.0067 470
12.1191 425
12.4567 362
12.4839 9
12.5599 390
12.8207 552
13.1255 552
13.4508 592
13.579 571
14.1798 605
14.528 567
14.5735 474
14.6077 577
15.0213 632
15.1095 419
15.8823 590
15.9104 378
16.4051 537
16.8343 356
16.9283 375
17.0771 630
17.4663 510
17.6061 600
17.6511 457
17.9121 490
18.3646 610
18.7314 545
18.7828 634
19.6703 415
19.7148 479
19.7324 363
19.9628 346
20.4628 376
20.7679 477
20.7743 626
21.2772 609
21.8397 507
21.9201 379
22.3423 498
22.5391 382
22.7051 578
22.9243 350
22.9509 383
23.0165 542
23.0313 544
23.0511 577
23.3018 584
23.4309 452
23.4619 426
23.9738 457
24.0382 445
24.0855 434
24.132 547
24.1964 530
25.2414 540
25.3085 575
25.5254 351
25.5911 565
25.6103 382
25.6946 389
25.8337 496
25.936 515
26.2609 515
26.4618 570
26.5081 365
26.6604 361
26.6841 605
26.9145 403
26.9361 534
27.77 391
27.7949 378
27.8151 403
28.2064 376
28.4975 361
28.55 431
29.1119 553
29.2793 607
29.498 384
29.5713 464
29.5794 422
29.6827 576
29.8168 498
30.4038 614
30.4862 371
30.9763 483
31.1655 428
31.2375 382
31.3267 338
31.6667 355
31.7409 624
31.7561 375
31.9507 527
32.0628 462
32.1226 473
32.4379 361
32.5518 512
32.5752 519
32.6271 534
32.6688 397
32.7568 441
32.7615 594
32.7782 530
32.7876 512
32.8819 622
33.2783 586
33.6741 391
33.7196 364
34.3134 416
34.3305 554
34.4054 618
34.5474 489
34.6531 422
34.6686 530
35.228 545
35.3267 558
35.3317 337
35.3648 550
35.5655 440
35.9239 361
36.0419 520
36.0829 531
36.3104 617
36.5881 342
36.6856 598
37.0543 530
37.2187 447
37.2322 535
37.3736 398
37.388 487
37.4117 352
37.5186 341
37.6093 611
37.6979 540
37.7094 609
37.7428 507
37.8529 484
37.9831 470
38.0412 566
38.6574 487
38.7785 558
38.9033 364
38.9929 421
39.1442 549
39.2085 454
39.5732 612
