TimeSimulation NumTxs SizeMempool(Bytes)  MempoolUsage
16 25 11817 0.22
21 43 20553 0.4
26 72 34257 0.68
31 97 45680 0.9
36 51 23830 0.46
41 94 44808 0.88
46 120 57876 1.14
51 42 18609 0.36
56 71 32185 0.64
61 103 48494 0.96
66 34 16356 0.32
71 60 28750 0.56
76 105 50256 1
81 143 67948 1.34
86 48 21821 0.42
91 76 35788 0.7
96 121 56341 1.12
101 41 18128 0.36
106 74 34408 0.68
111 100 47313 0.94
116 38 18111 0.36
121 52 24903 0.48
126 62 30215 0.6
131 71 34507 0.68
136 77 37491 0.74
141 90 43557 0.86
146 105 50841 1
151 21 9265 0.18
156 35 16031 0.32
161 46 21580 0.42
166 55 26183 0.52
171 66 31684 0.62
176 84 40259 0.8
181 91 43759 0.86
186 21 10067 0.2
191 32 15462 0.3
196 39 18767 0.36
201 54 26552 0.52
206 60 29696 0.58
211 67 33422 0.66
216 75 37272 0.74
221 80 39204 0.78
226 16 7886 0.14
231 33 16231 0.32
236 46 22571 0.44
241 54 26221 0.52
246 64 31225 0.62
251 71 34948 0.68
256 82 40240 0.8
261 9 4147 0.08
266 24 11564 0.22
271 39 19035 0.38
276 48 23827 0.46
281 53 26255 0.52
286 59 29014 0.58
291 69 33336 0.66
296 84 40976 0.8
301 14 6693 0.12
306 20 9249 0.18
311 26 12467 0.24
316 31 15029 0.3
321 43 21071 0.42
326 52 25633 0.5
331 64 31846 0.62
336 78 37654 0.74
341 82 39746 0.78
346 14 6820 0.12
351 25 11960 0.22
356 33 16121 0.32
361 47 23020 0.46
366 59 28592 0.56
371 72 34684 0.68
376 85 41397 0.82
381 18 9028 0.18
386 26 12918 0.24
391 34 16309 0.32
396 44 20985 0.4
401 58 27866 0.54
406 71 34464 0.68
411 83 40166 0.8
416 19 9037 0.18
421 26 12331 0.24
426 35 16761 0.32
431 49 23242 0.46
436 59 27889 0.54
441 67 31979 0.62
446 73 34924 0.68
451 89 42606 0.84
456 22 10655 0.2
461 34 16799 0.32
466 44 21446 0.42
471 58 28393 0.56
476 67 32912 0.64
481 75 37570 0.74
486 83 41044 0.82
491 14 6924 0.12
496 23 11438 0.22
501 38 18670 0.36
506 52 25310 0.5
511 58 28122 0.56
516 63 30984 0.6
521 70 33950 0.66
526 80 39382 0.78
531 15 7078 0.14
536 25 11689 0.22
541 38 18070 0.36
546 49 23406 0.46
551 63 30138 0.6
556 73 34692 0.68
561 81 38670 0.76
566 14 6641 0.12
571 20 9693 0.18
576 30 14720 0.28
581 43 20795 0.4
586 53 25773 0.5
591 60 29322 0.58
596 72 34512 0.68
601 82 39413 0.78
606 17 8157 0.16
611 25 12129 0.24
616 37 18377 0.36
621 44 21675 0.42
626 52 25434 0.5
631 65 32152 0.64
636 74 36254 0.72
641 78 37990 0.74
646 88 42857 0.84
651 16 7676 0.14
656 25 12542 0.24
661 39 19437 0.38
666 45 22351 0.44
671 57 28562 0.56
676 70 35224 0.7
681 8 3747 0.06
686 21 10040 0.2
691 33 16386 0.32
696 49 23849 0.46
701 61 29735 0.58
706 72 35395 0.7
711 79 39191 0.78
716 8 3836 0.06
721 19 9239 0.18
726 27 12813 0.24
731 33 15819 0.3
736 42 19910 0.38
741 56 26510 0.52
746 65 30408 0.6
751 77 36000 0.72
756 86 40289 0.8
761 14 6674 0.12
766 22 10570 0.2
771 33 16059 0.32
776 38 18716 0.36
781 47 22946 0.44
786 58 28263 0.56
791 67 32453 0.64
796 80 38926 0.76
801 91 43805 0.86
806 108 52230 1.04
811 121 58843 1.16
816 134 65136 1.3
821 154 74353 1.48
826 175 84602 1.68
831 124 60344 1.2
836 139 67254 1.34
841 160 77062 1.54
846 179 85870 1.7
851 203 97293 1.94
856 237 114697 2.28
861 268 129864 2.58
866 288 139380 2.78
871 320 154721 3.08
876 344 166154 3.32
881 373 180399 3.6
886 400 192363 3.84
891 430 207672 4.14
896 347 169263 3.38
901 366 178826 3.56
906 385 188208 3.76
911 405 198029 3.96
916 312 151737 3.02
921 351 170277 3.4
926 384 186135 3.72
931 302 146371 2.92
936 327 157755 3.14
941 351 168872 3.36
946 260 124509 2.48
951 293 140864 2.8
956 329 157943 3.14
961 360 172677 3.44
966 266 128409 2.56
971 297 142865 2.84
976 328 157490 3.14
981 231 110127 2.2
986 262 124671 2.48
991 292 139061 2.78
996 201 96351 1.92
